Red meat and poultry production (million pounds),,,,,,,,,,,,,,,
Type 1/,Commercial 2/,,,,,,,,,,Federally inspected,,,,
,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Broilers 5/,Other chicken 5/,Turkey 5/,Total poultry 4/ 5/ 6/,Total red meat and poultry 4/
Jan-Apr 2016,7898.40,25.20,8230.00,50.80,16204.40,7796.70,24.70,8181.50,46.90,16049.90,13335.26,176.93,1919.58,15478.67,31528.57
Jan-Apr 2015,7593.70,26.60,8228.40,51.20,15899.90,7491.90,26.20,8182.20,48.10,15748.40,13063.84,172.91,1925.45,15208.95,30957.35
Apr-2016,1963.90,6.00,2000.10,12.80,3982.90,1939.80,5.90,1988.30,11.80,3945.80,3296.10,42.22,484.69,3834.46,7780.26
Mar-2016,2096.00,6.40,2145.10,14.30,4261.70,2069.50,6.20,2131.80,13.20,4220.80,3525.88,49.56,503.87,4091.78,8312.58
Feb-2016,1885.00,6.10,2000.60,12.50,3904.20,1859.70,6.00,1988.70,11.60,3866.00,3256.50,43.34,454.55,3765.57,7631.57
Jan-2016,1953.50,6.70,2084.20,11.20,4055.60,1927.70,6.60,2072.70,10.30,4017.30,3256.78,41.81,476.47,3786.87,7804.17
Dec-2015,2046.30,7.80,2207.20,13.20,4274.50,2020.50,7.70,2194.50,12.30,4234.90,3334.49,44.22,461.21,3852.85,8087.75
Nov-2015,1936.10,7.10,2080.80,11.80,4035.70,1911.20,6.90,2068.90,10.90,3997.90,3135.44,38.76,470.74,3656.30,7654.20
Oct-2015,2126.30,7.20,2169.20,11.90,4314.60,2096.50,7.10,2155.50,10.90,4270.00,3467.17,47.57,525.94,4052.78,8322.78
Sep-2015,2086.60,6.80,2035.90,12.30,4141.70,2060.20,6.70,2022.10,11.00,4100.10,3486.28,45.55,452.27,3995.88,8095.98
Aug-2015,1934.90,6.50,1949.10,11.70,3902.20,1911.00,6.30,1935.80,10.60,3863.80,3417.47,42.90,450.75,3921.95,7785.75
Jul-2015,2046.80,6.90,1972.90,12.90,4039.50,2023.40,6.80,1960.50,11.80,4002.50,3468.72,44.55,448.52,3973.47,7975.97
Jun-2015,2001.60,7.00,1995.90,13.50,4018.00,1977.60,6.90,1984.50,12.30,3981.40,3428.40,45.60,458.29,3943.97,7925.37
May-2015,1925.50,6.60,1861.90,11.90,3806.00,1902.60,6.50,1851.30,11.10,3771.40,3246.53,40.38,434.05,3731.80,7503.20
Apr-2015,1928.80,6.60,2066.90,13.70,4016.00,1903.90,6.50,2055.00,12.80,3978.10,3346.08,46.40,496.61,3901.35,7879.45
Mar-2015,1933.30,6.90,2111.80,14.30,4066.30,1907.20,6.80,2099.10,13.50,4026.60,3389.02,43.95,501.93,3947.09,7973.69
Feb-2015,1768.10,6.30,1945.20,11.50,3731.10,1744.60,6.20,1934.60,10.80,3696.20,3000.69,41.18,434.60,3486.92,7183.12
Jan-2015,1963.50,6.80,2104.50,11.70,4086.50,1936.20,6.70,2093.50,11.00,4047.50,3328.06,41.38,492.31,3873.59,7921.09
Dec-2014,2000.20,7.70,2114.30,13.40,4135.50,1973.40,7.50,2103.10,12.60,4096.60,3348.48,44.34,474.92,3880.48,7977.08
Nov-2014,1849.50,6.50,1890.20,11.50,3757.70,1825.40,6.30,1880.40,10.60,3722.80,2939.95,36.09,480.81,3467.27,7190.07
Oct-2014,2171.10,7.80,2126.40,13.40,4318.60,2138.60,7.60,2113.70,12.30,4272.10,3525.25,47.39,561.59,4146.81,8418.91
Sep-2014,2068.40,7.20,1871.90,12.30,3959.90,2041.00,7.10,1860.00,11.30,3919.30,3306.58,45.05,493.48,3856.26,7775.56
Aug-2014,2023.50,7.10,1752.20,11.70,3794.50,1999.00,6.90,1740.20,10.60,3756.70,3197.55,45.91,483.81,3737.93,7494.63
Jul-2014,2087.40,7.80,1799.80,13.90,3908.90,2060.80,7.70,1788.30,12.80,3869.50,3331.13,44.17,500.43,3887.18,7756.68
Jun-2014,2069.00,7.60,1734.00,13.40,3823.90,2044.10,7.40,1723.90,12.40,3787.90,3205.60,43.52,485.97,3745.44,7533.34
May-2014,2071.70,7.80,1859.10,13.90,3952.40,2046.80,7.60,1849.00,13.00,3916.50,3201.16,45.94,470.96,3729.05,7645.55
Apr-2014,2043.10,8.40,1911.00,15.20,3977.70,2017.50,8.30,1899.40,14.30,3939.40,3210.86,44.41,471.23,3737.99,7677.39
Mar-2014,1937.00,8.70,1854.40,13.20,3813.30,1911.90,8.60,1843.70,12.60,3776.70,3098.58,41.46,457.10,3607.31,7384.01
Feb-2014,1788.40,8.20,1844.20,11.60,3652.30,1762.20,8.00,1833.70,10.90,3614.90,3015.00,39.70,421.37,3486.21,7101.11
Jan-2014,2140.90,9.30,2085.70,12.40,4248.30,2111.50,9.20,2074.30,11.70,4206.70,3185.05,43.21,453.98,3693.12,7899.82
Dec-2013,2047.30,9.80,2065.40,13.00,4135.60,2019.10,9.70,2053.90,12.30,4095.00,3093.35,40.12,423.02,3568.11,7663.11
Nov-2013,2057.60,9.10,2039.90,11.80,4118.40,2030.90,8.90,2028.90,11.10,4079.80,2968.25,35.95,479.34,3492.97,7572.77
Oct-2013,2318.20,9.90,2169.00,13.10,4510.20,2283.80,9.70,2154.70,11.90,4460.10,3475.27,46.82,518.11,4051.77,8511.87
Sep-2013,2073.80,8.60,1842.90,11.70,3937.00,2047.10,8.40,1830.10,10.80,3896.40,3108.05,44.70,440.65,3603.22,7499.62
Aug-2013,2241.20,9.00,1938.40,13.80,4202.40,2215.60,8.80,1924.10,12.80,4161.30,3296.20,50.30,484.95,3841.60,8002.90
Jul-2013,2294.10,9.60,1840.30,14.20,4158.20,2268.30,9.40,1827.10,13.10,4117.80,3278.85,47.09,514.47,3850.87,7968.67
Jun-2013,2157.00,8.40,1676.30,12.70,3854.50,2132.20,8.30,1665.10,12.00,3817.50,3002.00,42.87,473.44,3527.58,7345.08
May-2013,2227.60,9.10,1898.90,14.50,4150.00,2201.50,8.90,1887.80,13.40,4111.60,3270.06,46.19,507.99,3834.33,7945.93
Apr-2013,2128.60,9.10,1940.80,13.40,4091.90,2101.10,8.90,1928.90,12.50,4051.40,3194.07,45.52,504.55,3754.82,7806.22
Mar-2013,2039.80,9.20,1932.00,13.80,3994.90,2012.30,9.00,1920.40,13.10,3954.70,2999.23,38.01,472.73,3520.07,7474.77
Feb-2013,1873.40,9.00,1778.40,11.50,3672.40,1845.00,8.80,1766.70,10.90,3631.30,2877.65,39.18,461.69,3388.33,7019.63
Jan-2013,2261.30,10.50,2064.90,12.40,4349.00,2227.90,10.20,2052.10,11.70,4302.00,3267.08,46.60,524.60,3848.99,8150.99
Dec-2012,2020.10,9.80,1954.20,12.80,3997.00,1992.30,9.60,1940.50,11.90,3954.40,2853.68,36.34,441.49,3342.13,7296.53
Nov-2012,2207.50,10.10,2079.20,12.50,4309.20,2178.80,9.80,2065.10,11.60,4265.30,3008.47,37.71,515.29,3571.83,7837.13
Oct-2012,2344.80,10.30,2210.70,14.30,4580.10,2307.60,10.00,2194.90,13.30,4525.80,3335.51,43.82,579.92,3970.38,8496.18
Sep-2012,2015.50,8.80,1911.20,12.50,3948.10,1986.10,8.60,1896.90,11.80,3903.40,2927.08,43.65,453.07,3433.02,7336.42
Aug-2012,2368.60,10.10,1998.10,14.20,4391.10,2338.60,9.90,1983.00,13.40,4344.80,3317.52,51.01,530.10,3909.11,8253.91
Jul-2012,2201.40,9.50,1721.90,12.50,3945.20,2176.80,9.20,1708.70,11.80,3906.50,3126.99,43.43,497.19,3676.75,7583.25
Jun-2012,2250.70,8.90,1750.50,12.40,4022.50,2225.80,8.70,1738.50,11.80,3984.90,3105.27,49.18,506.65,3670.88,7655.78
May-2012,2231.90,10.40,1926.80,13.60,4182.70,2206.40,10.10,1913.90,12.90,4143.30,3281.80,47.74,519.95,3859.97,8003.27
Apr-2012,1990.60,9.90,1841.90,12.90,3855.20,1964.00,9.60,1829.20,12.20,3815.00,2993.77,41.59,478.04,3523.41,7338.41
Mar-2012,2159.50,10.00,1987.70,14.20,4171.40,2133.30,9.70,1975.10,13.60,4131.80,3043.82,40.05,502.10,3596.09,7727.89
Feb-2012,2008.90,9.80,1883.00,12.30,3914.10,1981.20,9.60,1870.10,11.80,3872.70,2953.65,38.81,466.80,3469.18,7341.88
Jan-2012,2113.10,10.40,1987.30,12.10,4123.00,2081.70,10.20,1974.10,11.60,4077.60,3091.80,43.25,476.68,3622.26,7699.86
