,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
1,002-2015,359,2.556302501,0,1/7/15,1,January,Winter,2015,beef,Other,Class I,FALSE,FALSE
2,003-2015,35865,4.554682944,4339,1/7/15,1,January,Winter,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
3,004-2015,48139,4.682506086,16398,1/8/15,1,January,Winter,2015,mixed,Extraneous Material,Class I,FALSE,FALSE
4,005-2015,7092,3.85082996,4224,1/8/15,1,January,Winter,2015,beef,Undeclared Allergen,Class I,FALSE,FALSE
5,006-2015,1062,3.026533265,980,1/9/15,1,January,Winter,2015,pork,Undeclared Allergen,Class I,FALSE,FALSE
6,007-2015,700,2.845718018,340,1/12/15,1,January,Winter,2015,beef,Undeclared Allergen,Class I,FALSE,FALSE
7,008-2015,33948,4.530826986,0,1/14/15,1,January,Winter,2015,beef,Extraneous Material,Class III,FALSE,FALSE
8,009-2015,1690,3.228143608,654,1/14/15,1,January,Winter,2015,beef,Undeclared Allergen,Class I,FALSE,FALSE
9,011-2015,48210,4.68314614,176,1/16/15,1,January,Winter,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
10,012-2015,869,2.939519253,9916,1/16/15,1,January,Winter,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
11,010-2015,931,2.969415912,0,1/16/15,1,January,Winter,2015,pork,Undeclared Allergen,Class I,FALSE,FALSE
12,015-2015,168473,5.226532887,23373,1/17/15,1,January,Winter,2015,pork,Other,Class I,FALSE,FALSE
13,016-2015,14130,4.150172896,14130,1/17/15,1,January,Winter,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
14,014-2015,8856,3.947286645,4043,1/17/15,1,January,Winter,2015,poultry,Listeria,Class I,FALSE,FALSE
15,017-2015,130,2.117271296,104,1/21/15,1,January,Winter,2015,pork,Other,Class I,FALSE,FALSE
