"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"1","002-2015",359,2.55630250076729,0,"1/7/15",1,"January","Winter",2015,"beef","Other","Class I",FALSE,FALSE,"359","0",0,0,-2.55630250076729,21
"2","003-2015",35865,4.55468294414755,4339,"1/7/15",1,"January","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"35865","4339",3.63748972951251,0.120981458246201,-0.917193214635035,21
"3","004-2015",48139,4.68250608593901,16398,"1/8/15",1,"January","Winter",2015,"mixed","Extraneous Material","Class I",FALSE,FALSE,"48139","16398",4.21481736586946,0.340638567481668,-0.467688720069553,21
"4","005-2015",7092,3.85082995984853,4224,"1/8/15",1,"January","Winter",2015,"beef","Undeclared Allergen","Class I",FALSE,FALSE,"7092","4224",3.62582671328571,0.595600676818951,-0.22500324656282,21
"5","006-2015",1062,3.0265332645233,980,"1/9/15",1,"January","Winter",2015,"pork","Undeclared Allergen","Class I",FALSE,FALSE,"1062","980",2.99166900737995,0.922787193973635,-0.0348642571433482,21
"6","007-2015",700,2.84571801796666,340,"1/12/15",1,"January","Winter",2015,"beef","Undeclared Allergen","Class I",FALSE,FALSE,"700","340",2.5327543789925,0.485714285714286,-0.312963638974161,21
"7","008-2015",33948,4.53082698624898,0,"1/14/15",1,"January","Winter",2015,"beef","Extraneous Material","Class III",FALSE,FALSE,"33948","0",0,0,-4.53082698624898,21
"8","009-2015",1690,3.22814360759774,654,"1/14/15",1,"January","Winter",2015,"beef","Undeclared Allergen","Class I",FALSE,FALSE,"1690","654",2.81624129999178,0.38698224852071,-0.411902307605958,21
"9","011-2015",48210,4.68314613977958,176,"1/16/15",1,"January","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"48210","176",2.24797326636181,0.00365069487658162,-2.43517287341777,21
"10","012-2015",869,2.93951925261862,9916,"1/16/15",1,"January","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"869","9916",3.99638031323341,11.4108170310702,1.05686106061479,21
"11","010-2015",931,2.96941591235398,0,"1/16/15",1,"January","Winter",2015,"pork","Undeclared Allergen","Class I",FALSE,FALSE,"931","0",0,0,-2.96941591235398,21
"12","015-2015",168473,5.2265328872383,23373,"1/17/15",1,"January","Winter",2015,"pork","Other","Class I",FALSE,FALSE,"168473","23373",4.36873303970405,0.138734396609546,-0.857799847534257,21
"13","016-2015",14130,4.15017289639313,14130,"1/17/15",1,"January","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"14130","14130",4.15017289639313,1,0,21
"14","014-2015",8856,3.9472866446778,4043,"1/17/15",1,"January","Winter",2015,"poultry","Listeria","Class I",FALSE,FALSE,"8856","4043",3.60681114691896,0.456526648599819,-0.340475497758835,21
"15","017-2015",130,2.11727129565576,104,"1/21/15",1,"January","Winter",2015,"pork","Other","Class I",FALSE,FALSE,"130","104",2.02118929906994,0.8,-0.0960819965858262,21
