"","Covariate","n","mean","med","sd","max","sum","coef","pval","pval_txt"
"1","Full",944,3.02302454521301,3.22503767788689,1.56236343319357,7.71392362193741,8.20890887157887,NA,NA,NA
"2","Class I",635,2.96876819331368,3.10585067438514,1.58330808146255,7.23598398986735,7.9949906007254,2.96876819331368,0.0614289731152019,"0.061"
"3","Class II",242,3.24191719609239,3.51325989099149,1.46816572540975,7.71392362193741,7.78049657465939,0.273149002778707,0.0197034452458081,"0.02"
"4","Class III",62,2.96811945923447,3.11320920862639,1.48030110163237,6.01269257634026,6.41430301518797,-0.000648734079213917,0.997487372084038,"0.997"
"5","None Assigned",5,0,0,0,0,-Inf,NA,NA,NA
"6","beef",282,3.07123891459573,3.26579622871641,1.66784128341952,7.71392362193741,7.88990721346107,3.07123891459573,0.32050413227598,"0.321"
"7","mixed",306,3.03121548403454,3.142722278913,1.60995785322039,7.23598398986735,7.87631405041766,-0.0400234305611892,0.756312685823881,"0.756"
"8","pork",133,2.79427592019732,2.93901977644867,1.31517420459826,6.01269257634026,6.3306225498048,-0.27696299439841,0.0921837093332723,"0.092"
"9","poultry",223,3.08724287562455,3.42845877351558,1.48985327167404,6.30736230597008,6.83303460167719,0.0160039610288221,0.908993700778874,"0.909"
"10","Undeclared Allergen",233,2.82930812477389,3.05804623039528,1.46226466546083,5.53124254543782,6.50073376191036,2.82930812477389,0.000579947667626081,"<0.001"
"11","STEC",146,3.19004568134239,3.39226763762878,1.64232098530866,7.23571043370955,7.5573632473249,0.360737556568497,0.0273924803587071,"0.027"
"12","Extraneous Material",105,3.41740297022787,3.72721582090849,1.42227295088113,5.76419108202913,6.49456892482826,0.588094845453987,0.0012615388824731,"0.001"
"13","Listeria",157,2.71700250019072,2.75358305889291,1.41697884547322,6.92587378357206,7.23794247513198,-0.112305624583173,0.482151793105894,"0.482"
"14","Other",166,2.91186253023664,3.12252858004388,1.72025065219475,7.71392362193741,7.7823198847509,0.0825544054627509,0.599402532438339,"0.599"
"15","Processing Defect",54,3.42740822826734,3.55098881430268,1.27055537373482,7.04814954702515,7.19801421287246,0.598100103493444,0.010622481723119,"0.011"
"16","Salmonella",44,3.24664388139217,3.20230639716877,2.08005579352755,7.23598398986735,7.37115459238338,0.417335756618285,0.101072281788124,"0.101"
"17","Undeclared Substance",39,3.38619098979314,3.28488171465545,1.34871882532239,6.01269257634026,6.3501568844843,0.556882865019253,0.0377255099300397,"0.038"
"18","Autumn",237,3.09746397025588,3.16938049531195,1.46128428977325,7.23598398986735,7.690954698988,3.09746397025589,0.696364375144081,"0.696"
"19","Spring",237,2.93147035923331,3.16226561429802,1.56307358577138,6.57658354295206,7.03559277815023,-0.165993611022579,0.248137006231805,"0.248"
"20","Summer",220,3.01050915912258,3.26541253368067,1.65972670671341,7.04814954702515,7.49637063222187,-0.0869548111333055,0.552661526720376,"0.553"
"21","Winter",250,3.05026287834071,3.27611673039617,1.57095650156486,7.71392362193741,7.84803326817519,-0.0472010919151781,0.739239884577234,"0.739"
"22","1994",50,3.33019169417788,3.58716090898791,1.37102922468515,5.47991777400944,6.13197647307287,3.33019169417788,1.15199638152634e-12,"<0.001"
"23","1995",42,2.78387086139542,3.43536229558586,1.68845076061899,5.65939987159144,6.10795882093066,-0.546320832782448,0.0824132873133396,"0.082"
"24","1996",24,3.45213477063799,3.45514735874785,0.992210246710572,5.49928421137486,5.76392864110426,0.121943076460111,0.743654121529825,"0.744"
"25","1997",27,3.35960425657777,3.67394199863409,1.68052780702606,7.0045122494051,7.05276240811137,0.0294125623998933,0.934632858015313,"0.935"
"26","1998",44,3.69111458671929,3.76989748815877,1.53843219567864,6.77223337163242,7.11055378693665,0.360922892541411,0.24507237712189,"0.245"
"27","1999",62,3.04141645561279,2.98446760990362,1.46765630073717,6.92587378357206,6.98256817083462,-0.288775238565084,0.311778674752579,"0.312"
"28","2006",34,2.83888069679932,2.98213335166964,1.42829301833718,5.76419108202913,5.95073533159754,-0.491310997378558,0.141265654227517,"0.141"
"29","2007",58,3.61470993153542,3.502433476007,1.56076261991744,7.23598398986735,7.69770249207351,0.284518237357537,0.326294256982936,"0.326"
"30","2008",54,3.3466663632,3.65542145024823,1.71317501356488,7.71392362193741,7.7416760532438,0.0164746690221225,0.955419187785365,"0.955"
"31","2009",68,3.27405411105462,3.4405928630152,1.470070370163,6.01269257634026,6.56178450198981,-0.0561375831232585,0.840950285320743,"0.841"
"32","2010",68,3.33594830381583,3.46925691056652,1.52825033383233,6.57658354295206,6.82400202280902,0.00575660963795582,0.983581740224705,"0.984"
"33","2011",98,2.94098012028991,3.07164358215939,1.39976526434816,6.30736230597008,6.55958766639736,-0.389211573887972,0.136080759896583,"0.136"
"34","2012",75,2.97600023026346,3.12678057701201,1.37646114406865,6.11328974863764,6.34117802714067,-0.354191463914418,0.196569924028554,"0.197"
"35","2013",60,3.13950365444952,3.2359453267963,1.27837019808692,5.15365025840303,5.94194402088707,-0.190688039728352,0.507256960138828,"0.507"
"36","2014",57,2.93309102662347,3.15866398081399,1.54300907412315,5.53124254543782,6.11542244308006,-0.397100667554421,0.17251670449234,"0.173"
"37","2015",123,1.97087686113923,2.28103336724773,1.64472621056647,5.0751161027898,5.72508061689243,-1.35931483303864,8.51983783661928e-08,"<0.001"
